,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
82,2.0,82.0,1.0,1152.0,80.0,88.0,0.383680556,0.6163194439999999
84,2.0,84.0,1.0,2555.0,103.0,110.0,0.34431916700000004,0.655680833
86,2.0,86.0,1.0,1839.0,80.0,72.0,0.48837209299999995,0.511627907
88,2.0,88.0,1.0,4705.0,80.0,90.0,0.514011613,0.485988387
90,2.0,90.0,0.0,2197.0,80.0,70.0,0.39195231,0.60804769
92,2.0,92.0,0.0,2783.0,82.0,80.0,0.445177246,0.554822754
94,2.0,94.0,0.0,1925.0,96.0,110.0,0.426191844,0.573808156
96,2.0,96.0,0.0,2134.0,60.0,50.0,0.745822785,0.254177215
98,2.0,98.0,0.0,1285.0,110.0,96.0,0.6926070040000001,0.30739299600000003
100,2.0,100.0,1.0,1834.0,49.0,50.0,0.294047619,0.7059523809999999
102,2.0,102.0,0.0,1192.0,51.0,50.0,0.507550336,0.492449664
104,2.0,104.0,1.0,1618.0,40.0,50.0,0.551297899,0.448702101
106,2.0,106.0,0.0,1817.0,85.0,80.0,0.576774904,0.423225096
108,2.0,108.0,1.0,1666.0,50.0,43.0,0.6146458579999999,0.385354142
110,2.0,110.0,1.0,1819.0,50.0,60.0,0.5346177,0.4653823
112,2.0,112.0,0.0,4290.0,122.0,110.0,0.677622378,0.322377622
114,2.0,114.0,1.0,1372.0,80.0,67.0,0.49708454799999996,0.502915452
116,2.0,116.0,0.0,2567.0,110.0,122.0,0.42033502100000003,0.579664979
118,2.0,118.0,1.0,1648.0,110.0,112.0,0.36407767,0.63592233
0,3.0,0.0,0.0,3916.0,110.0,131.0,0.686414709,0.313585291
2,3.0,2.0,1.0,3746.0,50.0,44.0,0.421529745,0.578470255
4,3.0,4.0,1.0,2167.0,42.0,50.0,0.293121693,0.706878307
6,3.0,6.0,0.0,3483.0,78.0,80.0,0.555693453,0.44430654700000005
8,3.0,8.0,1.0,11236.0,50.0,48.0,0.6777505220000001,0.32224947800000003
10,3.0,10.0,0.0,5035.0,46.0,50.0,0.578008915,0.421991085
12,3.0,12.0,1.0,2210.0,50.0,56.0,0.346639717,0.6533602829999999
14,3.0,14.0,1.0,1790.0,110.0,124.0,0.42396313399999996,0.576036866
16,3.0,16.0,1.0,2599.0,64.0,80.0,0.37435008700000005,0.625649913
18,3.0,18.0,0.0,2397.0,101.0,110.0,0.493087558,0.5069124420000001
20,3.0,20.0,0.0,1897.0,50.0,42.0,0.6543209879999999,0.345679012
22,3.0,22.0,0.0,3510.0,77.0,80.0,0.5410256410000001,0.458974359
24,3.0,24.0,1.0,1943.0,44.0,50.0,0.357179619,0.642820381
26,3.0,26.0,1.0,3811.0,50.0,46.0,0.200332963,0.7996670370000001
28,3.0,28.0,0.0,2891.0,133.0,110.0,0.530983302,0.46901669799999995
30,3.0,30.0,1.0,6103.0,126.0,110.0,0.32193295899999996,0.6780670409999999
32,3.0,32.0,1.0,4646.0,110.0,126.0,0.399483427,0.6005165729999999
34,3.0,34.0,1.0,2616.0,80.0,77.0,0.33833333299999996,0.661666667
36,3.0,36.0,0.0,2093.0,80.0,64.0,0.627027027,0.372972973
38,3.0,38.0,1.0,4563.0,124.0,110.0,0.341442034,0.658557966
40,3.0,40.0,1.0,3952.0,128.0,110.0,0.403772267,0.596227733
42,3.0,42.0,1.0,1708.0,54.0,50.0,0.428571429,0.571428571
44,3.0,44.0,0.0,3300.0,105.0,110.0,0.859922179,0.140077821
46,3.0,46.0,0.0,1537.0,96.0,80.0,0.7648,0.2352
48,3.0,48.0,0.0,1768.0,110.0,128.0,0.610859729,0.38914027100000004
50,3.0,50.0,1.0,3884.0,110.0,119.0,0.38105046299999995,0.618949537
52,3.0,52.0,0.0,1563.0,58.0,50.0,0.679400749,0.32059925100000003
54,3.0,54.0,0.0,4268.0,74.0,80.0,0.883576914,0.116423086
56,3.0,56.0,1.0,1773.0,66.0,80.0,0.46249295,0.53750705
58,3.0,58.0,0.0,3982.0,94.0,110.0,0.661911171,0.338088829
60,3.0,60.0,0.0,2105.0,75.0,80.0,0.56530936,0.43469064
62,3.0,62.0,1.0,2742.0,89.0,110.0,0.30707512800000003,0.6929248720000001
64,3.0,64.0,1.0,2550.0,110.0,98.0,0.294092281,0.705907719
66,3.0,66.0,0.0,3249.0,110.0,94.0,0.538319483,0.461680517
68,3.0,68.0,1.0,2270.0,50.0,54.0,0.464317181,0.535682819
70,3.0,70.0,1.0,1885.0,50.0,52.0,0.335092348,0.664907652
72,3.0,72.0,1.0,1789.0,87.0,110.0,0.382563435,0.617436565
74,3.0,74.0,1.0,2710.0,80.0,96.0,0.49298893,0.50701107
76,3.0,76.0,0.0,1596.0,50.0,55.0,0.644110276,0.35588972399999996
78,3.0,78.0,0.0,1498.0,45.0,50.0,0.603471295,0.396528705
80,3.0,80.0,0.0,3897.0,50.0,53.0,0.55667001,0.44332999
