,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,react_time
268,3,28,2793.11,1,93,70,0.45061721,0.54938279,2793.11
269,3,29,3888.358,1,91,70,0.506676037,0.493323963,4281.358
270,3,30,3968.847,1,86,70,0.408280621,0.591719379,3894.847
271,3,31,5034.733,0,70,93,0.592066317,0.407933683,4715.733
272,3,32,2112.499,0,70,86,0.618020305,0.381979695,2444.499
273,3,33,2296.662,0,8,10,0.666100327,0.333899673,1964.662
274,3,34,3646.655,0,40,37,0.750565185,0.249434815,3878.655
275,3,35,4058.004,1,77,70,0.469832402,0.530167598,4173.004
276,3,36,4104.806,1,40,24,0.405710886,0.594289114,4107.806
277,3,37,2157.565,0,40,38,0.633489461,0.366510539,2066.565
278,3,38,5902.977,1,84,70,0.41771852,0.58228148,5643.977
279,3,39,3965.283,0,52,70,0.728017884,0.271982116,4238.283
280,3,40,2874.212,1,88,70,0.589940324,0.410059676,3179.212
281,3,41,1905.035,0,10,18,0.611258504,0.388741496,1600.035
282,3,42,3598.064,0,14,10,0.600133372,0.399866628,3598.064
283,3,43,4363.497,1,40,29,0.494760379,0.505239621,4363.497
284,3,44,3112.865,0,65,70,0.728077945,0.271922055,3425.865
285,3,45,1884.503,0,15,10,0.484429066,0.515570934,1832.503
286,3,46,1983.844,0,56,40,0.663347349,0.336652651,1722.844
287,3,47,3481.898,1,40,35,0.407130184,0.592869816,3481.898
288,3,48,1740.578,0,70,88,0.644494757,0.355505243,1740.578
289,3,49,2775.34,1,19,10,0.425626352,0.574373648,2775.34
290,3,50,3192.21,0,70,79,0.512297899,0.487702101,3192.21
291,3,51,2788.262,0,12,10,0.46991456,0.53008544,2788.262
292,3,52,2021.154,0,18,10,0.638904893,0.361095107,2021.154
293,3,53,2046.904,0,79,70,0.631079478,0.368920522,2337.904
294,3,54,2458.908,0,34,40,0.66788071,0.33211929,2167.908
295,3,55,11284.041,0,46,40,0.695564516,0.304435484,11590.041
296,3,56,2205.452,0,26,40,0.688720174,0.311279826,2061.452
297,3,57,2938.959,1,10,19,0.44645799,0.55354201,3131.959
298,3,58,2075.831,0,54,70,0.675675676,0.324324324,2199.831
299,3,59,6006.701,1,70,47,0.453619884,0.546380116,5527.701
300,3,60,5185.448,0,35,40,0.598079914,0.401920086,5185.448
301,3,61,2171.165,0,10,5,0.545315235,0.454684765,2171.165
302,3,62,2231.588,0,49,70,0.692078617,0.307921383,2231.588
303,3,63,6749.729,0,40,54,0.58493148,0.41506852,6749.729
304,3,64,1702.985,1,70,58,0.332883827,0.667116173,1702.985
305,3,65,4327.1,1,54,40,0.370307341,0.629692659,4327.1
306,3,66,2781.398,1,70,54,0.28775381,0.71224619,2781.398
307,3,67,2153.141,0,40,26,0.665792923,0.334207077,2436.141
308,3,68,5509.326,0,10,14,0.539255684,0.460744316,5226.326
309,3,69,3790.565,0,58,70,0.562942645,0.437057355,3790.565
310,3,70,1935.545,0,10,12,0.650295892,0.349704108,1935.545
311,3,71,5071.439,1,70,49,0.47199658,0.52800342,5418.439
312,3,72,1970.037,0,47,70,0.577335575,0.422664425,1623.037
313,3,73,1915.188,0,70,65,0.631134699,0.368865301,1915.188
314,3,74,1806.863,0,40,56,0.650123588,0.349876412,1806.863
315,3,75,3215.543,0,40,46,0.554441746,0.445558254,3215.543
316,3,76,3040.316,0,10,15,0.661925602,0.338074398,3291.316
317,3,77,2795.694,1,40,34,0.494361994,0.505638006,2544.694
318,3,78,2434.871,0,5,10,0.713171702,0.286828298,2434.871
319,3,79,2171.063,0,29,40,0.631820912,0.368179088,2171.063
320,3,80,6490.153,0,10,13,0.46599777,0.53400223,6767.153
321,3,81,2569.653,1,10,0,0.467093236,0.532906764,2530.653
322,3,82,1734.384,1,40,48,0.22855096,0.77144904,1496.384
323,3,83,1816.44,0,75,70,0.673227163,0.326772837,1816.44
324,3,84,3418.283,1,63,70,0.360075519,0.639924481,3418.283
325,3,85,3388.941,1,50,40,0.40045286,0.59954714,3388.941
326,3,86,3212.035,1,40,32,0.43668515,0.56331485,3212.035
327,3,87,4191.488,1,53,40,0.545324596,0.454675404,4191.488
328,3,88,2193.673,0,40,50,0.714394678,0.285605322,2193.673
329,3,89,2866.639,1,48,40,0.417310328,0.582689672,2866.639
330,3,90,4461.154,1,40,30,0.432608892,0.567391108,4461.154
331,3,91,1790.712,0,40,53,0.584438915,0.415561085,1790.712
332,3,92,3086.176,1,42,40,0.377159936,0.622840064,3086.176
333,3,93,2421.588,1,10,1,0.271962617,0.728037383,2557.588
334,3,94,5495.088,0,56,70,0.569599339,0.430400661,5642.088
335,3,95,7992.571,1,40,45,0.431126148,0.568873852,8013.571
336,3,96,1895.259,0,20,10,0.644306804,0.355693196,1591.259
337,3,97,1717.528,0,1,10,0.626238848,0.373761152,1717.528
338,3,98,5673.799,0,70,56,0.543354943,0.456645057,5955.799
339,3,99,1735.755,0,32,40,0.599657439,0.400342561,1453.755
340,3,100,1521.761,0,9,10,0.649366881,0.350633119,1521.761
341,3,101,1839.842,0,3,10,0.663345751,0.336654249,1839.842
342,3,102,2040.446,0,11,10,0.535700272,0.464299728,2040.446
343,3,103,3775.151,0,72,70,0.629789864,0.370210136,4164.151
344,3,104,4915.342,1,0,10,0.398555832,0.601444168,4526.342
345,3,105,1945.35,0,10,11,0.517258663,0.482741337,1945.35
346,3,106,2987.049,1,45,40,0.384839138,0.615160862,2987.049
347,3,107,2836.683,1,10,9,0.346619981,0.653380019,2836.683
348,3,108,3238.171,0,10,3,0.551883167,0.448116833,3437.171
349,3,109,3324.511,0,40,42,0.714412025,0.285587975,3379.511
350,3,110,1673.779,0,10,20,0.609798426,0.390201574,1419.779
351,3,111,4260.273,1,13,10,0.348215073,0.651784927,4260.273
352,3,112,3245.341,1,82,70,0.34490085,0.65509915,3564.341
353,3,113,2464.32,0,27,40,0.702608469,0.297391531,2145.32
354,3,114,3971.055,1,40,27,0.314447592,0.685552408,4366.055
355,3,115,4124.874,0,30,40,0.538322206,0.461677794,3729.874
356,3,116,3063.151,0,70,82,0.565351895,0.434648105,3251.151
357,3,117,2784.731,0,70,75,0.5486633,0.4513367,2596.731
358,3,118,2274.323,0,70,72,0.592207792,0.407792208,3117.323
359,3,119,3210.26,1,70,63,0.424119024,0.575880976,2367.26
360,4,0,14824.897,0,70,91,0.54942559,0.45057441,14824.897
361,4,1,2083.157,1,7,10,0.513200567,0.486799433,2083.157
362,4,2,9357.174,0,10,4,0.496462042,0.503537958,9357.174
363,4,3,2825.048,0,17,10,0.461975232,0.538024768,2825.048
364,4,4,1900.572,0,2,10,0.613603217,0.386396783,1900.572
365,4,5,4876.995,0,68,70,0.545880864,0.454119136,4876.995
366,4,6,1821.439,0,38,40,0.617349866,0.382650134,1821.439
367,4,7,7493.308,1,70,52,0.551833123,0.448166877,7736.308
368,4,8,4593.317,0,10,8,0.549917857,0.450082143,4350.317
369,4,9,2388.264,0,70,61,0.574606736,0.425393264,2388.264
370,4,10,4057.351,0,6,10,0.556814293,0.443185707,4057.351
371,4,11,3000.593,0,40,43,0.695488769,0.304511231,3000.593
372,4,12,3201.176,0,10,16,0.564292615,0.435707385,3201.176
373,4,13,8467.339,0,10,7,0.508062206,0.491937794,8467.339
374,4,14,15422.37,0,70,84,0.527090616,0.472909384,15845.37
375,4,15,22416.61,0,51,40,0.563962778,0.436037222,21993.61
376,4,16,2357.467,0,24,40,0.642832083,0.357167917,2357.467
377,4,17,19852.526,1,43,40,0.492510784,0.507489216,19852.526
378,4,18,14929.605,1,61,70,0.454514152,0.545485848,14929.605
379,4,19,6802.71,1,16,10,0.444667422,0.555332578,6802.71
380,4,20,5623.276,1,10,2,0.53736346,0.46263654,5623.276
381,4,21,8088.222,0,70,77,0.488030808,0.511969192,8088.222
382,4,22,8348.753,0,37,40,0.257706165,0.742293835,8348.753
383,4,23,2068.719,0,40,51,0.624874024,0.375125976,2068.719
384,4,24,2864.606,0,4,10,0.547873563,0.452126437,2864.606
385,4,25,1555.129,0,10,17,0.608700791,0.391299209,1555.129
386,4,26,2010.556,0,10,6,0.626457704,0.373542296,2010.556
387,4,27,25299.521,0,70,68,0.456777644,0.543222356,25299.521
388,4,28,1996.359,0,93,70,0.660339694,0.339660306,1996.359
389,4,29,15235.493,1,91,70,0.530915774,0.469084226,15235.493
390,4,30,9458.254,1,86,70,0.4741048,0.5258952,9458.254
391,4,31,1876.74,0,70,93,0.627523181,0.372476819,1876.74
392,4,32,6732.502,0,70,86,0.60000013,0.39999987,6732.502
393,4,33,1564.586,0,8,10,0.559418181,0.440581819,1564.586
394,4,34,10629.362,0,40,37,0.506753133,0.493246867,10629.362
395,4,35,9460.517,1,77,70,0.409459296,0.590540704,9460.517
396,4,36,7210.473,1,40,24,0.622710475,0.377289525,7210.473
397,4,37,6251.048,0,40,38,0.641865817,0.358134183,6251.048
398,4,38,6443.423,0,84,70,0.592577386,0.407422614,6443.423
399,4,39,2842.802,0,52,70,0.538987138,0.461012862,3070.802
400,4,40,5514.536,1,88,70,0.507278221,0.492721779,5514.536
401,4,41,1932.558,0,10,18,0.630504179,0.369495821,1932.558
402,4,42,9801.449,0,14,10,0.387463777,0.612536223,9801.449
403,4,43,5940.869,1,40,29,0.54992667,0.45007333,5940.869
404,4,44,3591.975,0,65,70,0.571896135,0.428103865,3591.975
405,4,45,2463.779,0,15,10,0.632662303,0.367337697,2463.779
