,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
2038,17,118,3301.886,0,110,112,0.5091489363070888,0.4908510636929112,3301.886
2039,17,119,3517.441,1,110,103,0.3690147904339573,0.6309852095660426,3517.441
2040,18,0,7075.7980000000025,1,110,131,0.3722852276701789,0.6277147723298211,7075.798000000001
2041,18,1,6712.44,1,47,50,0.4696437655875821,0.530356234412418,6712.44
2042,18,2,4320.861,0,50,44,0.5190383855126836,0.4809616144873164,4320.861
2043,18,3,6032.645,0,57,50,0.4714865461186656,0.5285134538813344,6032.645
2044,18,4,6490.056,1,42,50,0.40486367377279847,0.5951363262272015,6490.056
2045,18,5,5453.4540000000015,1,108,110,0.4549450639016281,0.545054936098372,5453.454000000001
2046,18,6,8890.216999999999,1,78,80,0.468563741492882,0.531436258507118,8890.216999999999
2047,18,7,3306.749000000001,0,110,92,0.52847620032018,0.4715237996798201,3306.7490000000003
2048,18,8,5462.7559999999985,0,50,48,0.5488683139596038,0.4511316860403962,5462.755999999999
2049,18,9,4068.082,0,110,101,0.5526342601475739,0.44736573985242617,4068.0820000000003
2050,18,10,5324.076,0,46,50,0.5167620470477022,0.48323795295229777,5324.076
2051,18,11,3127.338,1,80,83,0.3683021695765377,0.6316978304234623,3127.3379999999997
2052,18,12,5073.1579999999985,1,50,56,0.4702606126298682,0.5297393873701318,5073.157999999999
2053,18,13,2805.148,1,50,47,0.34335436127806135,0.6566456387219386,2805.1479999999997
2054,18,14,2704.112,1,110,124,0.4057121797273986,0.5942878202726014,2704.112
2055,18,15,9469.143,0,91,80,0.42510831374461067,0.5748916862553893,9469.143
2056,18,16,3309.7209999999995,1,64,80,0.3844446438358973,0.6155553561641027,3309.7209999999995
2057,18,17,3512.929,1,83,80,0.31378299120234604,0.6862170087976539,3749.929
2058,18,18,2829.821,1,101,110,0.3707509881422925,0.6292490118577075,2861.821
2059,18,19,7894.319,0,56,50,0.47097295208239814,0.5290270479176018,7625.319
2060,18,20,4102.758,1,50,42,0.4768613513971106,0.5231386486028894,4102.758
2061,18,21,5442.824000000001,1,110,117,0.37676914382250526,0.6232308561774947,5442.8240000000005
2062,18,22,4131.013,0,77,80,0.40407321807841345,0.5959267819215865,4131.013
2063,18,23,4778.66,1,80,91,0.4043587623331587,0.5956412376668413,4778.66
2064,18,24,3386.115,1,44,50,0.4178081888634644,0.5821918111365356,3389.115
2065,18,25,2518.068,1,50,57,0.38951745847394836,0.6104825415260516,2521.0679999999998
2066,18,26,5298.538000000001,1,50,46,0.5167910353306703,0.4832089646693297,5298.5380000000005
2067,18,27,3416.423,0,110,108,0.5049783151636013,0.49502168483639875,3416.423
2068,18,28,3039.393,0,133,110,0.5524303783577136,0.4475696216422864,3039.393
2069,18,29,2373.224,0,131,110,0.5723078807000105,0.4276921192999895,2373.224
2070,18,30,5304.009,0,126,110,0.5635666526938228,0.43643334730617717,5304.009
2071,18,31,2315.723,1,110,133,0.4027446229027122,0.5972553770972878,2315.723
2072,18,32,3882.361,1,110,126,0.40601194764426424,0.5939880523557358,3882.361
2073,18,33,3421.09,0,48,50,0.5474130681418554,0.4525869318581446,3421.09
2074,18,34,6181.335,0,80,77,0.5196265096112227,0.48037349038877725,6181.335
2075,18,35,4822.684,0,117,110,0.5539793648074939,0.4460206351925061,4822.684
2076,18,36,5032.7170000000015,0,80,64,0.5101426709470868,0.4898573290529133,5032.717000000001
2077,18,37,4728.562,0,80,78,0.6005004541608012,0.3994995458391987,4728.562
2078,18,38,5177.705,0,124,110,0.5180192657176967,0.48198073428230326,5180.705
2079,18,39,3390.173,1,92,110,0.38324629295334334,0.6167537070466567,3390.173
2080,18,40,6173.666,0,128,110,0.6151061890154318,0.38489381098456815,6173.666
2081,18,41,3306.925,1,50,58,0.38662151911602555,0.6133784808839745,3306.925
2082,18,42,6664.722,0,54,50,0.5202364509606126,0.4797635490393874,6664.722
2083,18,43,6250.446,0,80,69,0.5439806608002128,0.4560193391997872,6250.446
2084,18,44,3739.708,1,105,110,0.39864183901068423,0.6013581609893157,3742.708
2085,18,45,7016.376,0,55,50,0.5897960900905955,0.41020390990940453,7016.376
2086,18,46,2834.9240000000004,0,96,80,0.5522702402570913,0.4477297597429088,2834.9240000000004
2087,18,47,7416.059,1,80,75,0.4169733221129937,0.5830266778870064,7416.059
2088,18,48,2708.862,1,110,128,0.29955160144001497,0.700448398559985,2708.862
2089,18,49,3080.123,0,59,50,0.585485236884808,0.414514763115192,3083.123
2090,18,50,5181.807,1,110,119,0.4891668828795008,0.5108331171204993,5181.807
2091,18,51,7452.204000000002,1,52,50,0.3592385459120573,0.6407614540879427,7452.204000000001
2092,18,52,2372.702,0,58,50,0.5854972813498159,0.41450271865018407,2372.702
