,subject,trial,choice,rt,item_value_0,item_value_1,gaze_0,gaze_1
20,4,20,1,5623.276,83,91,0.53736346,0.46263654
22,4,22,0,8348.753,56,53,0.257706165,0.742293835
24,4,24,0,2864.6059999999998,89,83,0.547873563,0.45212643700000005
26,4,26,0,2010.556,83,87,0.626457704,0.373542296
28,4,28,0,1996.359,0,23,0.660339694,0.339660306
30,4,30,1,9458.254,7,23,0.4741048,0.5258951999999999
32,4,32,0,6732.5019999999995,23,7,0.60000013,0.39999987
34,4,34,0,10629.362,53,56,0.506753133,0.49324686700000003
36,4,36,1,7210.473000000001,53,69,0.622710475,0.377289525
38,4,38,0,6443.423000000001,9,23,0.592577386,0.40742261399999996
40,4,40,1,5514.536,5,23,0.507278221,0.49272177899999997
42,4,42,0,9801.449,79,83,0.387463777,0.612536223
44,4,44,0,3591.975,28,23,0.571896135,0.428103865
46,4,46,0,4914.518,37,53,0.477882518,0.5221174820000001
48,4,48,0,1810.596,23,5,0.628964898,0.371035102
50,4,50,0,2444.855,23,14,0.675091805,0.324908195
52,4,52,0,15007.925,75,83,0.579562288,0.420437712
54,4,54,0,1860.5839999999998,59,53,0.553167912,0.44683208799999996
56,4,56,0,7942.371,67,53,0.511005513,0.48899448700000003
58,4,58,0,1639.8129999999999,39,23,0.58157738,0.41842262
60,4,60,0,1652.721,58,53,0.39842016,0.60157984
62,4,62,0,1650.025,44,23,0.624482089,0.37551791100000004
64,4,64,0,1869.81,23,35,0.6717459459999999,0.32825405399999996
66,4,66,0,1844.599,23,39,0.585874351,0.414125649
68,4,68,0,1544.7620000000002,83,79,0.6078760679999999,0.392123932
70,4,70,0,5245.960999999999,83,81,0.438239935,0.561760065
72,4,72,0,5721.714,46,23,0.561333675,0.438666325
74,4,74,0,1696.6979999999999,53,37,0.5583206470000001,0.441679353
76,4,76,0,1864.389,83,78,0.5832330929999999,0.416766907
78,4,78,0,1591.685,88,83,0.545222516,0.454777484
80,4,80,0,7326.8009999999995,83,80,0.535596416,0.464403584
82,4,82,0,6994.066,53,45,0.447187435,0.552812565
84,4,84,0,3869.4509999999996,30,23,0.515372203,0.484627797
86,4,86,1,15326.428,53,61,0.504072435,0.495927565
88,4,88,0,1644.7160000000001,53,43,0.530000357,0.46999964299999997
90,4,90,1,7844.831999999999,53,63,0.45033376700000005,0.549666233
92,4,92,0,2732.0370000000003,51,53,0.755905975,0.244094025
94,4,94,0,2416.989,37,23,0.6364,0.3636
96,4,96,1,8393.032,73,83,0.606253724,0.393746276
98,4,98,0,10515.086000000001,23,37,0.417420288,0.582579712
100,4,100,0,13825.958999999999,84,83,0.612050036,0.387949964
102,4,102,0,6932.071999999999,82,83,0.46309797399999997,0.536902026
104,4,104,0,1712.77,93,83,0.61707458,0.38292542
106,4,106,0,18617.121,48,53,0.459282653,0.5407173470000001
108,4,108,0,17355.536,83,90,0.575389953,0.42461004700000005
110,4,110,0,5798.1990000000005,83,73,0.549364811,0.450635189
112,4,112,1,8212.237,11,23,0.47970818600000004,0.520291814
114,4,114,1,8415.61,53,66,0.383673789,0.6163262110000001
116,4,116,0,2157.263,23,11,0.625491416,0.374508584
118,4,118,0,3564.241,23,21,0.599690629,0.400309371
0,5,0,0,7222.438,23,2,0.514226685,0.485773315
2,5,2,1,3295.6459999999997,83,89,0.544996167,0.45500383299999997
4,5,4,0,4044.965,91,83,0.5398927720000001,0.460107228
6,5,6,0,2478.845,55,53,0.6660399260000001,0.333960074
8,5,8,0,7215.97,83,85,0.48649577200000005,0.513504228
10,5,10,1,7185.6,87,83,0.396832432,0.6031675679999999
12,5,12,0,5181.088,83,77,0.530337264,0.469662736
14,5,14,0,4647.592000000001,23,9,0.572779614,0.427220386
16,5,16,0,3464.902,69,53,0.55748243,0.44251757
18,5,18,0,5499.503000000001,32,23,0.522868231,0.477131769
20,5,20,0,3607.382,83,91,0.576340984,0.423659016
22,5,22,0,6240.307,56,53,0.566589537,0.43341046299999997
24,5,24,0,4812.778,89,83,0.613545363,0.38645463700000005
26,5,26,0,7967.58,83,87,0.480879665,0.519120335
28,5,28,1,3779.256,0,23,0.504977737,0.49502226299999996
30,5,30,1,3665.191,7,23,0.465922534,0.5340774660000001
32,5,32,0,4058.527,23,7,0.564135281,0.435864719
34,5,34,0,5471.9169999999995,53,56,0.5013113929999999,0.498688607
36,5,36,1,2750.297,53,69,0.5350637570000001,0.46493624299999997
38,5,38,1,1710.4089999999999,9,23,0.502413812,0.497586188
40,5,40,1,4242.3009999999995,5,23,0.508252278,0.49174772200000005
42,5,42,1,4276.049,79,83,0.454894615,0.545105385
44,5,44,0,3549.203,28,23,0.595177949,0.404822051
46,5,46,0,10385.769,37,53,0.524711838,0.475288162
48,5,48,0,4631.856,23,5,0.504947931,0.495052069
50,5,50,0,3151.8309999999997,23,14,0.545881092,0.454118908
52,5,52,0,5032.219,75,83,0.541934956,0.458065044
54,5,54,0,2841.384,59,53,0.565076346,0.434923654
56,5,56,0,3893.3379999999997,67,53,0.592956164,0.407043836
58,5,58,0,1955.1729999999998,39,23,0.6505163310000001,0.349483669
60,5,60,1,11520.601999999999,58,53,0.516850286,0.483149714
62,5,62,0,3483.968,44,23,0.540919755,0.459080245
64,5,64,1,2644.9109999999996,23,35,0.502660399,0.497339601
66,5,66,0,3971.2870000000003,23,39,0.593854113,0.40614588700000004
68,5,68,1,4680.479,83,79,0.426068794,0.573931206
70,5,70,1,4514.502,83,81,0.5163287870000001,0.483671213
72,5,72,1,3215.42,46,23,0.46059070799999996,0.539409292
74,5,74,1,7330.548000000001,53,37,0.49035523299999995,0.509644767
76,5,76,1,4450.724,83,78,0.507363284,0.49263671600000003
78,5,78,1,4154.848,88,83,0.537274275,0.462725725
80,5,80,0,4333.5,83,80,0.57552929,0.42447071
82,5,82,0,2821.7990000000004,53,45,0.538945775,0.461054225
84,5,84,1,5363.299,30,23,0.49717691799999997,0.502823082
86,5,86,0,7097.294,53,61,0.561422051,0.43857794899999997
88,5,88,0,5583.156999999999,53,43,0.5592676679999999,0.440732332
90,5,90,0,5412.878000000001,53,63,0.567587941,0.43241205899999996
92,5,92,1,5185.66,51,53,0.5328928860000001,0.467107114
94,5,94,0,7714.071,37,23,0.523929274,0.476070726
96,5,96,0,7420.130999999999,73,83,0.570202313,0.42979768700000004
98,5,98,1,4468.544,23,37,0.520609099,0.47939090100000004
100,5,100,1,4612.005,84,83,0.460671224,0.5393287760000001
102,5,102,1,3959.6679999999997,82,83,0.539496491,0.460503509
104,5,104,0,2095.772,93,83,0.648816761,0.351183239
106,5,106,1,4205.344,48,53,0.508603516,0.49139648399999997
108,5,108,0,3668.3259999999996,83,90,0.513512502,0.48648749799999996
110,5,110,0,3339.5570000000002,83,73,0.560216924,0.439783076
112,5,112,1,2748.2490000000003,11,23,0.508398196,0.491601804
114,5,114,0,7194.944,53,66,0.584536435,0.415463565
116,5,116,0,6192.639,23,11,0.539676214,0.460323786
118,5,118,0,3802.61,23,21,0.533850728,0.466149272
0,6,0,0,2260.55,23,2,0.660538835,0.339461165
2,6,2,0,2730.824,83,89,0.47339945899999997,0.526600541
4,6,4,0,2012.6870000000001,91,83,0.708773944,0.291226056
6,6,6,1,5723.241,55,53,0.517458293,0.48254170700000004
8,6,8,0,2436.317,83,85,0.682046138,0.317953862
10,6,10,0,1706.21,87,83,0.48327759200000003,0.516722408
12,6,12,0,2177.331,83,77,0.669290688,0.330709312
14,6,14,0,2865.366,23,9,0.535537712,0.46446228799999995
16,6,16,0,1829.599,69,53,0.7282297440000001,0.271770256
18,6,18,0,2618.333,32,23,0.7557894740000001,0.244210526
20,6,20,1,2568.139,83,91,0.458341756,0.541658244
22,6,22,0,1675.984,56,53,0.559830094,0.440169906
24,6,24,0,2771.2470000000003,89,83,0.510820585,0.489179415
26,6,26,1,3945.5640000000003,83,87,0.478476823,0.5215231770000001
28,6,28,1,1688.906,0,23,0.45882083,0.54117917
30,6,30,1,1623.296,7,23,0.42248548799999996,0.577514512
32,6,32,0,2024.944,23,7,0.6893318709999999,0.31066812899999996
34,6,34,1,3293.758,53,56,0.517372532,0.48262746799999995
36,6,36,1,2417.686,53,69,0.44745677100000003,0.552543229
38,6,38,1,2135.408,9,23,0.443999395,0.556000605
40,6,40,1,2425.369,5,23,0.460050523,0.5399494770000001
42,6,42,0,2044.3020000000001,79,83,0.70781427,0.29218573
44,6,44,1,4785.945,28,23,0.558755198,0.44124480200000005
46,6,46,1,1467.219,37,53,0.592457773,0.40754222700000003
48,6,48,0,1610.102,23,5,0.6308655679999999,0.369134432
50,6,50,1,2354.6479999999997,23,14,0.45713800200000004,0.542861998
52,6,52,1,3584.885,75,83,0.485515033,0.514484967
54,6,54,0,1891.344,59,53,0.638846621,0.361153379
56,6,56,0,1277.719,67,53,0.559654899,0.440345101
58,6,58,0,2822.0170000000003,39,23,0.509416481,0.49058351899999997
60,6,60,0,1676.987,58,53,0.6618724189999999,0.338127581
62,6,62,0,1671.5420000000001,44,23,0.62315096,0.37684904
64,6,64,1,2280.73,23,35,0.4494317,0.5505683000000001
66,6,66,1,2407.991,23,39,0.524607577,0.47539242299999995
68,6,68,0,1780.76,83,79,0.643280207,0.35671979299999995
70,6,70,0,5177.366,83,81,0.60821171,0.39178829
72,6,72,0,2444.7529999999997,46,23,0.51921158,0.48078842
74,6,74,0,1620.34,53,37,0.695872955,0.304127045
76,6,76,0,2387.0429999999997,83,78,0.528717057,0.47128294299999995
78,6,78,1,2214.81,88,83,0.417889448,0.5821105520000001
80,6,80,0,1731.005,83,80,0.602173788,0.397826212
82,6,82,1,2398.445,53,45,0.470813858,0.529186142
84,6,84,0,2014.43,30,23,0.617928978,0.38207102200000004
86,6,86,0,1590.71,53,61,0.653748835,0.346251165
88,6,88,0,1438.0439999999999,53,43,0.626093049,0.373906951
90,6,90,0,4441.81,53,63,0.550822285,0.449177715
92,6,92,0,1431.4460000000001,51,53,0.6229678710000001,0.377032129
94,6,94,0,1442.37,37,23,0.6368889879999999,0.363111012
96,6,96,1,3014.756,73,83,0.47159765600000003,0.528402344
98,6,98,1,2014.943,23,37,0.454559475,0.545440525
100,6,100,1,3393.889,84,83,0.5037394279999999,0.496260572
102,6,102,0,1462.408,82,83,0.641579295,0.358420705
104,6,104,0,1587.007,93,83,0.684361082,0.315638918
106,6,106,1,4144.806,48,53,0.528528648,0.471471352
108,6,108,0,1462.895,83,90,0.599322549,0.400677451
110,6,110,0,1503.257,83,73,0.641250718,0.358749282
112,6,112,1,1170.135,11,23,0.537459283,0.46254071700000005
114,6,114,1,1559.527,53,66,0.43404331799999996,0.565956682
116,6,116,0,4426.4529999999995,23,11,0.543694789,0.456305211
118,6,118,1,1831.3410000000001,23,21,0.5138577120000001,0.486142288
